,学校代号,学校名称,专业名称,计划数,分数线,位次,985,211,双一流,省重点,民办,独立学院
0,1,浙江大学,人文科学试验班,85,663,3573.0,1,1,1,0,0,0
1,1,浙江大学,新闻传播学类,59,664,3329.0,1,1,1,0,0,0
2,1,浙江大学,外国语言文学类,10,665,3044.0,1,1,1,0,0,0
3,1,浙江大学,社会科学试验班,182,668,2479.0,1,1,1,0,0,0
4,1,浙江大学,社会科学试验班(竺可桢学院人文社科实验班),5,683,491.0,1,1,1,0,0,0
5,1,浙江大学,社会科学试验班(数字法治卓越班),4,680,717.0,1,1,1,0,0,0
6,1,浙江大学,社会科学试验班(智能财务荣誉项目班),4,683,463.0,1,1,1,0,0,0
7,1,浙江大学,理科试验班类,95,671,1822.0,1,1,1,0,0,0
8,1,浙江大学,理科试验班(生命、环境、化学与地学),130,659,4733.0,1,1,1,0,0,0
9,1,浙江大学,工科试验班,394,664,3275.0,1,1,1,0,0,0
10,1,浙江大学,工科试验班(建筑与土木),170,659,4879.0,1,1,1,0,0,0
11,1,浙江大学,工科试验班(材料、化工与高分子),168,656,5713.0,1,1,1,0,0,0
12,1,浙江大学,工科试验班(信息),245,674,1397.0,1,1,1,0,0,0
13,1,浙江大学,工科试验班(竺可桢学院图灵班),3,686,349.0,1,1,1,0,0,0
14,1,浙江大学,医学试验班(竺可桢学院巴德年医学班),25,681,649.0,1,1,1,0,0,0
15,1,浙江大学,工科试验班(海洋),83,651,7697.0,1,1,1,0,0,0
16,1,浙江大学,海洋科学,24,653,6731.0,1,1,1,0,0,0
17,1,浙江大学,应用生物科学(农学),170,652,7137.0,1,1,1,0,0,0
18,1,浙江大学,应用生物科学(生工食品),24,656,5623.0,1,1,1,0,0,0
19,2,中国美术学院,艺术学理论类,20,622,26361.0,0,0,1,1,0,0
20,2,中国美术学院,风景园林,15,627,22262.0,0,0,1,1,0,0
21,2,中国美术学院,工业设计,35,612,35158.0,0,0,1,1,0,0
22,3,浙江工业大学,健行学院实验班(人文社科),10,641,13003.0,0,0,0,1,0,0
23,3,浙江工业大学,健行学院实验班(理工),20,639,13721.0,0,0,0,1,0,0
24,3,浙江工业大学,化工与制药类(化学工程类),154,605,42087.0,0,0,0,1,0,0
25,3,浙江工业大学,化学工程与工艺(卓越工程师),30,616,31413.0,0,0,0,1,0,0
26,3,浙江工业大学,安全工程,14,613,34090.0,0,0,0,1,0,0
27,3,浙江工业大学,生物工程类,74,610,37452.0,0,0,0,1,0,0
28,3,浙江工业大学,药学类(“2011计划”创新实验区),158,614,33421.0,0,0,0,1,0,0
29,3,浙江工业大学,环境科学与工程类,55,608,39426.0,0,0,0,1,0,0
30,3,浙江工业大学,材料类,41,602,45936.0,0,0,0,1,0,0
